ref   	text             	parse      	lemma       	pre      	gloss
1.1   	ΚΑΙ              	C          	καί         	         	And
1.2   	ἦν               	V9  IAI3S  	εἰμί        	         	was
1.3   	ἀνὴρ             	N3  NSM    	ἀνήρ        	         	a man
1.4   	οἰκῶν            	V2  PAPNSM 	οἰκέω       	         	dwelling
1.5   	ἐν               	P          	ἐν          	         	in
1.6   	Βαβυλῶνι,        	N3W DSF    	Βαβυλών     	         	Babylon,
1.7   	καὶ              	C          	καί         	         	and
1.8   	ὄνομα            	N3M NSN    	ὄνομα       	         	name
1.9   	αὐτῷ             	RD  DSM    	αὐτός       	         	to him
1.10  	Ἰωακείμ.         	N   NSM    	Ιωακιμ      	         	Joakim.
2.1   	καὶ              	C          	καί         	         	and
2.2   	ἔλαβεν           	VBI AAI3S  	λαμβάνω     	         	he took
2.3   	γυναῖκα          	N3K ASF    	γυνή        	         	a wife,
2.4   	ᾗ                	RR  DSF    	ὅς          	         	to whom
2.5   	ὄνομα            	N3M ASN    	ὄνομα       	         	name
2.6   	Σουσάννα,        	N   NSF    	Σουσαννα    	         	Susanna,
2.7   	θυγάτηρ          	N3  NSF    	θυγάτηρ     	         	daughter
2.8   	Χελκείου,        	N   GSM    	Χελκιας     	         	of Hilkiah,
2.9   	καλὴ             	A1  NSF    	καλός       	         	beautiful
2.10  	σφόδρα           	D          	σφόδρα      	         	very much
2.11  	καὶ              	C          	καί         	         	and
2.12  	φοβουμένη        	V2  PMPNSF 	φοβέω       	         	fearing
2.13  	τὸν              	RA  ASM    	ὁ           	         	the
2.14  	κύριον.          	N2  ASM    	κύριος      	         	Lord.
3.1   	καὶ              	C          	καί         	         	and
3.2   	οἱ               	RA  NPM    	ὁ           	         	the
3.3   	γονεῖς           	N3V NPM    	γονεύς      	         	parents
3.4   	αὐτῆς            	RD  GSF    	αὐτός       	         	of her
3.5   	δίκαιοι,         	A1A NPM    	δίκαιος     	         	righteous,
3.6   	καὶ              	C          	καί         	         	and
3.7   	ἐδίδαξαν         	VAI AAI3P  	διδάσκω     	         	they taught
3.8   	τὴν              	RA  ASF    	ὁ           	         	the
3.9   	θυγατέρα         	N3  ASF    	θυγάτηρ     	         	daughter
3.10  	αὐτῶν            	RD  GPM    	αὐτός       	         	of them
3.11  	κατὰ             	P          	κατά        	         	according to
3.12  	τὸν              	RA  ASM    	ὁ           	         	the
3.13  	νόμον            	N2  ASM    	νόμος       	         	law
3.14  	Μωυσῆ.           	N1M GSM    	Μωυσῆς      	         	of Moses.
4.1   	καὶ              	C          	καί         	         	And
4.2   	ἦν               	V9  IAI3S  	εἰμί        	         	was
4.3   	Ἰωακεὶμ          	N   NSM    	Ιωακιμ      	         	Joakim
4.4   	πλούσιος         	A1A NSM    	πλούσιος    	         	rich
4.5   	σφόδρα,          	D          	σφόδρα      	         	very much,
4.6   	καὶ              	C          	καί         	         	and
4.7   	ἦν               	V9  IAI3S  	εἰμί        	         	was
4.8   	αὐτῷ             	RD  DSM    	αὐτός       	         	to him
4.9   	παράδεισος       	N2  NSM    	παράδεισος  	         	a garden
4.10  	γειτνιῶν         	V3  PAPNSM 	γειτνιάω    	         	neighbouring {takes dative complement}
4.11  	τῷ               	RA  DSM    	ὁ           	         	to the
4.12  	οἴκῳ             	N2  DSM    	οἶκος       	         	house
4.13  	αὐτοῦ·           	RD  GSM    	αὐτός       	         	of him.
4.14  	καὶ              	C          	καί         	         	and
4.15  	πρὸς             	P          	πρός        	         	to
4.16  	αὐτὸν            	RD  ASM    	αὐτός       	         	him
4.17  	προσήγοντο       	V1I IMI3P  	ἄγω         	προς     	were brought
4.18  	οἱ               	RA  NPM    	ὁ           	         	the
4.19  	Ἰουδαῖοι,        	N2  NPM    	Ἰουδαῖος    	         	Jews,
4.20  	διὰ              	P          	διά         	         	because
4.21  	τὸ               	RA  ASN    	ὁ           	         	the
4.22  	εἶναι            	V9  PAN    	εἰμί        	         	to be
4.23  	αὐτὸν            	RD  ASM    	αὐτός       	         	him
4.24  	ἐνδοξότερον      	A1B ASMC   	ἔνδοξος     	         	more esteemed
4.25  	πάντων.          	A3  GPM    	πᾶς         	         	(than) all.
5.1   	Καὶ              	C          	καί         	         	and
